Taxa1	Taxa1Imp	Taxa2	Taxa2Imp	Correlation
0	0.20851114372696467	6	0.09818238508936789	-0.8571428571428573
0	0.20851114372696467	7	0.806877488146983	-0.7142857142857144
0	0.20851114372696467	11	0.07812342401349869	-0.8333333333333335
0	0.20851114372696467	26	0.08963016480838172	-0.880952380952381
0	0.20851114372696467	43	0.07960064319501366	0.7610194341477615
0	0.20851114372696467	0	0.20851114372696467	0
1	0.1822774761814594	16	0.1740334753202349	0.8571428571428573
1	0.1822774761814594	36	0.3212850122605424	0.880952380952381
1	0.1822774761814594	38	0.1258480056316357	-0.904761904761905
1	0.1822774761814594	45	0.1206789861796365	0.790433332862751
1	0.1822774761814594	55	0.2240692592744547	0.8728715609439696
1	0.1822774761814594	1	0.1822774761814594	0
2	0.2792612011708119	23	0.6587892463151191	-0.7142857142857144
2	0.2792612011708119	30	0.5369192941346824	-0.761904761904762
2	0.2792612011708119	42	0.6810061907728235	-0.7142857142857144
2	0.2792612011708119	46	0.1382562101721407	0.8783100656536801
2	0.2792612011708119	2	0.2792612011708119	0
3	0.28967484308164626	17	0.0673328391039231	-0.8571428571428573
3	0.28967484308164626	18	0.08413816783002523	-0.7380952380952382
3	0.28967484308164626	24	0.5497942495286637	-0.7990704058551497
3	0.28967484308164626	46	0.1382562101721407	-0.7075275528876868
3	0.28967484308164626	47	0.29394677842673766	-0.8244377203267418
3	0.28967484308164626	56	0.7810353895561026	0.7319250547113999
3	0.28967484308164626	3	0.28967484308164626	0
4	0.23904326990415858	5	0.38534083313309425	-0.8095238095238095
4	0.23904326990415858	21	0.3287094096878306	0.8624886920341297
4	0.23904326990415858	22	0.34224562109518636	0.95150257112482
4	0.23904326990415858	33	0.44235919641648513	0.8333333333333335
4	0.23904326990415858	41	0.22000130865544057	0.8571428571428573
4	0.23904326990415858	4	0.23904326990415858	0
5	0.38534083313309425	21	0.3287094096878306	-0.7356521196761696
5	0.38534083313309425	22	0.34224562109518636	-0.7563225565351134
5	0.38534083313309425	24	0.5497942495286637	0.8244377203267418
5	0.38534083313309425	33	0.44235919641648513	-0.8095238095238095
5	0.38534083313309425	37	0.4891793417817146	-0.7142857142857144
5	0.38534083313309425	5	0.38534083313309425	0
6	0.09818238508936789	11	0.07812342401349869	0.8333333333333335
6	0.09818238508936789	26	0.08963016480838172	0.7380952380952382
6	0.09818238508936789	6	0.09818238508936789	0
7	0.806877488146983	12	0.9642191697642707	0.761904761904762
7	0.806877488146983	15	0.8578545646260198	0.8333333333333335
7	0.806877488146983	19	0.8413341501613257	0.9285714285714287
7	0.806877488146983	20	0.5784078081487778	0.7857142857142858
7	0.806877488146983	25	1.0	0.9523809523809526
7	0.806877488146983	29	0.6302170588467989	0.880952380952381
7	0.806877488146983	49	0.7802147767380978	0.8455943246644706
7	0.806877488146983	51	0.739197394205912	0.8295150620062532
7	0.806877488146983	56	0.7810353895561026	0.7319250547113999
7	0.806877488146983	7	0.806877488146983	0
8	0.050751325746528915	10	0.046039362593522704	0.9523809523809526
8	0.050751325746528915	44	0.15788420896895655	-0.7910398521054726
8	0.050751325746528915	8	0.050751325746528915	0
9	0.5472561162385082	12	0.9642191697642707	-0.80511756018254
9	0.5472561162385082	15	0.8578545646260198	-0.80511756018254
9	0.5472561162385082	23	0.6587892463151191	-0.7807200583588266
9	0.5472561162385082	25	1.0	-0.7563225565351134
9	0.5472561162385082	30	0.5369192941346824	-0.8295150620062532
9	0.5472561162385082	31	0.6118035583739578	-0.7319250547113999
9	0.5472561162385082	9	0.5472561162385082	0
10	0.046039362593522704	44	0.15788420896895655	-0.8455943246644706
10	0.046039362593522704	10	0.046039362593522704	0
11	0.07812342401349869	59	0.030358843528561674	0.7637626158259734
11	0.07812342401349869	11	0.07812342401349869	0
12	0.9642191697642707	15	0.8578545646260198	0.8571428571428573
12	0.9642191697642707	19	0.8413341501613257	0.7380952380952382
12	0.9642191697642707	21	0.3287094096878306	0.7229684624403735
12	0.9642191697642707	23	0.6587892463151191	0.7142857142857144
12	0.9642191697642707	25	1.0	0.880952380952381
12	0.9642191697642707	30	0.5369192941346824	0.880952380952381
12	0.9642191697642707	31	0.6118035583739578	0.8571428571428573
12	0.9642191697642707	42	0.6810061907728235	0.761904761904762
12	0.9642191697642707	49	0.7802147767380978	0.8455943246644706
12	0.9642191697642707	51	0.739197394205912	0.7075275528876868
12	0.9642191697642707	12	0.9642191697642707	0
13	0.08970844524743098	16	0.1740334753202349	-0.8571428571428573
13	0.08970844524743098	55	0.2240692592744547	-0.8455943246644706
13	0.08970844524743098	13	0.08970844524743098	0
14	0.2746385808148647	20	0.5784078081487778	-0.761904761904762
14	0.2746385808148647	32	0.27023962019149117	0.7075275528876868
14	0.2746385808148647	44	0.15788420896895655	0.7092081432669753
14	0.2746385808148647	51	0.739197394205912	-0.7319250547113999
14	0.2746385808148647	14	0.2746385808148647	0
15	0.8578545646260198	19	0.8413341501613257	0.7380952380952382
15	0.8578545646260198	23	0.6587892463151191	0.9523809523809526
15	0.8578545646260198	25	1.0	0.9523809523809526
15	0.8578545646260198	30	0.5369192941346824	0.8571428571428573
15	0.8578545646260198	31	0.6118035583739578	0.7142857142857144
15	0.8578545646260198	42	0.6810061907728235	0.880952380952381
15	0.8578545646260198	49	0.7802147767380978	0.7637626158259734
15	0.8578545646260198	56	0.7810353895561026	0.7319250547113999
15	0.8578545646260198	15	0.8578545646260198	0
