Taxa1	Taxa1Imp	Taxa2	Correlation
0	0.6284935304280347	4	-0.7636363636363637
0	0.6284935304280347	18	-0.9181818181818181
0	0.6284935304280347	20	-0.7636363636363637
0	0.6284935304280347	0	0
1	0.012706138132635634	1	0
2	0.22571317436957783	45	-0.6330541649476574
2	0.22571317436957783	60	0.6607158652139773
2	0.22571317436957783	2	0
3	0.10403225938243879	24	0.6545454545454545
3	0.10403225938243879	3	0
4	0.2715697071470275	38	0.8073734277593312
4	0.2715697071470275	4	0
5	0.15636772281488326	58	-0.6738709042282581
5	0.15636772281488326	5	0
6	0.3811793773405556	6	0
7	0.2484251341553583	7	0
8	0.7595162375787944	27	0.7545454545454546
8	0.7595162375787944	42	0.7818181818181817
8	0.7595162375787944	8	0
9	0.9307915432153822	46	-0.697277051246695
9	0.9307915432153822	9	0
10	0.5889668970642952	12	0.8090909090909091
10	0.5889668970642952	35	-0.701596353270436
10	0.5889668970642952	10	0
11	0.29140744610868985	17	0.6909090909090909
11	0.29140744610868985	11	0
12	0.882026773662719	11	0.7363636363636363
12	0.882026773662719	30	0.8545454545454546
12	0.882026773662719	31	0.7727272727272727
12	0.882026773662719	12	0
13	0.196386969158185	13	0
14	0.04572233641653068	23	1.0
14	0.04572233641653068	53	1.0
14	0.04572233641653068	14	0
15	0.04462866242347907	22	-0.6292853089020909
15	0.04462866242347907	44	0.7181818181818183
15	0.04462866242347907	15	0
16	0.9132972982881752	26	0.8272727272727273
16	0.9132972982881752	16	0
17	0.12446535041712088	25	-0.7425987375524745
17	0.12446535041712088	17	0
18	0.8744480264313471	13	-0.6789276551612557
18	0.8744480264313471	21	0.9
18	0.8744480264313471	32	0.7454545454545454
18	0.8744480264313471	18	0
19	0.05997122765619169	1	-0.7363636363636363
19	0.05997122765619169	19	0
20	0.26118766502473356	47	-0.6607158652139773
20	0.26118766502473356	20	0
21	0.9797820212701903	9	-0.7909090909090909
21	0.9797820212701903	10	0.8727272727272727
21	0.9797820212701903	16	0.9454545454545454
21	0.9797820212701903	33	0.8636363636363636
21	0.9797820212701903	49	0.701596353270436
21	0.9797820212701903	21	0
22	0.026097223982038065	22	0
23	0.04572233641653068	23	0
24	0.16243679373948938	24	0
25	0.2442184369315645	2	0.7517103785040385
25	0.2442184369315645	5	0.797268583261859
25	0.2442184369315645	41	0.6877970606908216
25	0.2442184369315645	25	0
26	1.0	8	0.7545454545454546
26	1.0	26	0
27	0.21955111027873145	48	-0.7304301051627996
27	0.21955111027873145	27	0
28	0.025913119929219318	28	0
29	0.01644590578596972	29	0
30	0.5518238429578303	54	-0.8377018990932704
30	0.5518238429578303	30	0
31	0.4821464451178537	31	0
32	0.6229468044832371	32	0
33	0.7987013381771129	6	0.7545454545454546
33	0.7987013381771129	36	0.6691701560804232
33	0.7987013381771129	56	0.6513389472789296
33	0.7987013381771129	33	0
34	0.0	34	0
35	0.15677728013782755	15	-0.8063802242134231
35	0.15677728013782755	35	0
36	0.18278482963509532	28	-0.6315167833034491
36	0.18278482963509532	36	0
37	0.10659208157054696	37	0
38	0.04686539482694394	37	0.8257228238447705
38	0.04686539482694394	38	0
39	0.09298241477409339	39	0
40	0.23759867257968503	40	0
41	0.36368739522662136	41	0
42	0.494852547905018	42	0
43	0.3861838857136273	61	0.6622226308314962
43	0.3861838857136273	43	0
44	0.045057079806545615	3	0.7272727272727273
44	0.045057079806545615	29	-0.7927127627860769
44	0.045057079806545615	44	0
45	0.11880093120858881	51	0.6902093080282884
45	0.11880093120858881	45	0
46	0.7916631857485323	52	0.7934920476158722
46	0.7916631857485323	46	0
47	0.12317560097497245	55	0.9999999999999998
47	0.12317560097497245	47	0
48	0.22346457428366942	43	-0.6947916070707282
48	0.22346457428366942	48	0
49	0.5287489279581611	49	0
50	0.013150723705353183	50	0
51	0.028268774394247135	50	-0.7238095238095238
51	0.028268774394247135	51	0
52	0.344834563079164	7	0.7862453931068965
52	0.344834563079164	19	0.6706210705911764
52	0.344834563079164	52	0
53	0.04572233641653068	53	0
54	0.7466872444888875	39	0.7732632914707112
54	0.7466872444888875	40	0.7060942978049651
54	0.7466872444888875	54	0
55	0.12317560097497245	55	0
56	0.5817273186437889	56	0
57	0.0	57	0
58	0.08390185058285092	58	0
59	0.0	59	0
60	0.1088241559184135	60	0
61	0.11135677864615529	14	0.7416198487095663
61	0.11135677864615529	61	0
