Taxa1	Taxa1Imp	Taxa2	Correlation
0	0.5365069195490566	4	-0.8928571428571427
0	0.5365069195490566	7	-0.8928571428571427
0	0.5365069195490566	28	-0.8928571428571427
0	0.5365069195490566	0	0
1	0.3031385940497213	38	0.8214285714285713
1	0.3031385940497213	1	0
2	0.013669480019302176	54	-0.8017837257372732
2	0.013669480019302176	2	0
3	0.6246353286790206	32	0.8669214468630105
3	0.6246353286790206	3	0
4	0.5748013642316402	10	0.8571428571428569
4	0.5748013642316402	23	0.9642857142857141
4	0.5748013642316402	4	0
5	0.02693237229264059	5	0
6	0.0	6	0
7	0.2877802657546071	31	0.9642857142857141
7	0.2877802657546071	7	0
8	0.7849762574424726	33	0.9642857142857141
8	0.7849762574424726	8	0
9	0.4072978491802326	9	0
10	0.4378714870308413	1	0.8571428571428569
10	0.4378714870308413	12	0.8928571428571427
10	0.4378714870308413	42	0.9285714285714283
10	0.4378714870308413	10	0
11	0.06129981351216478	11	0
12	0.4258835113473489	36	0.8928571428571427
12	0.4258835113473489	12	0
13	0.28446208420810337	17	0.8928571428571427
13	0.28446208420810337	13	0
14	1.0	8	-0.8928571428571427
14	1.0	26	-0.8928571428571427
14	1.0	14	0
15	0.3862872561825871	30	0.9642857142857141
15	0.3862872561825871	15	0
16	0.7408630972964096	46	-0.9549937104572924
16	0.7408630972964096	60	-0.8153742483272112
16	0.7408630972964096	16	0
17	0.17472329360672054	17	0
18	0.9199982418151912	16	0.8571428571428569
18	0.9199982418151912	20	0.9285714285714283
18	0.9199982418151912	18	0
19	0.28407913376113797	18	0.8571428571428569
19	0.28407913376113797	45	0.8017837257372732
19	0.28407913376113797	19	0
20	0.9230980313163918	14	-0.9285714285714283
20	0.9230980313163918	43	0.8214285714285713
20	0.9230980313163918	20	0
21	0.07005783342623133	5	-0.807813166395078
21	0.07005783342623133	21	0
22	0.09698066751303618	61	-0.7865665062071158
22	0.09698066751303618	22	0
23	0.7125334365422978	24	-0.8288624656799142
23	0.7125334365422978	29	0.8214285714285713
23	0.7125334365422978	47	0.8524367141602663
23	0.7125334365422978	23	0
24	0.5481261024811322	24	0
25	0.07833304611851644	25	0
26	0.4139226814284237	26	0
27	0.2119503834226012	27	0
28	0.31205185121897006	19	0.8928571428571427
28	0.31205185121897006	57	0.7572401854185358
28	0.31205185121897006	28	0
29	0.2488174826405712	21	-0.7881104062391006
29	0.2488174826405712	35	-0.8571428571428569
29	0.2488174826405712	29	0
30	0.2043032694270976	30	0
31	0.3334892119230944	13	0.9642857142857141
31	0.3334892119230944	27	-0.9285714285714283
31	0.3334892119230944	31	0
32	0.09155064250081688	25	0.9063269671749656
32	0.09155064250081688	32	0
33	0.5933836738074683	49	0.8829187134416476
33	0.5933836738074683	33	0
34	0.0828843911551003	22	-0.8227533512074423
34	0.0828843911551003	34	0
35	0.13177220980414509	41	-0.9285714285714283
35	0.13177220980414509	52	-0.8669214468630105
35	0.13177220980414509	35	0
36	0.2698165564682711	36	0
37	0.0	37	0
38	0.18771699876089193	38	0
39	0.0	39	0
40	0.12041034797032364	40	0
41	0.08541402899634973	41	0
42	0.45847489551811643	42	0
43	0.3661380857052253	43	0
44	0.0	44	0
45	0.7212762283343555	40	0.7640931774583412
45	0.7212762283343555	45	0
46	0.8271290316690126	3	-0.810843716426003
46	0.8271290316690126	46	0
47	0.5168755124653921	9	-0.8587538611150073
47	0.5168755124653921	15	0.9265616458263765
47	0.5168755124653921	47	0
48	0.844804947549814	48	0
49	0.7113916586126662	49	0
50	0.009604544623951841	55	0.9565217391304347
50	0.009604544623951841	50	0
51	0.06129981351216478	51	0
52	0.13312709866286296	52	0
53	0.12804676181346325	58	0.9999999999999999
53	0.12804676181346325	59	0.9999999999999999
53	0.12804676181346325	53	0
54	0.013669480019302176	54	0
55	0.009604544623951841	55	0
56	0.0	56	0
57	0.13573530134836484	11	0.7572401854185358
57	0.13573530134836484	34	0.7858252779857414
57	0.13573530134836484	51	0.7572401854185358
57	0.13573530134836484	57	0
58	0.12804676181346325	58	0
59	0.12804676181346325	59	0
60	0.5008257308847754	48	0.8320502943378438
60	0.5008257308847754	60	0
61	0.24061070386812025	53	0.7637626158259734
61	0.24061070386812025	61	0
