Taxa1	Taxa1Imp	Taxa2	Correlation
0	0.46975423005633793	7	-0.7272727272727274
0	0.46975423005633793	12	-0.7552447552447553
0	0.46975423005633793	0	0
1	0.11636641419055974	1	0
2	0.03426907644331912	45	-0.632389843979487
2	0.03426907644331912	2	0
3	0.2914261394995831	3	0
4	0.44101550001084283	4	0
5	0.4267477891319569	11	0.6433566433566434
5	0.4267477891319569	41	0.7132867132867134
5	0.4267477891319569	5	0
6	0.0	6	0
7	0.2691500578715143	42	-0.704029100680038
7	0.2691500578715143	7	0
8	0.23268447976155654	19	0.7250448947301883
8	0.23268447976155654	48	-0.6264336956357558
8	0.23268447976155654	8	0
9	0.5046782807830391	9	0
10	0.8106120505383381	16	0.8321678321678323
10	0.8106120505383381	18	0.7132867132867134
10	0.8106120505383381	26	0.7412587412587414
10	0.8106120505383381	37	0.9090909090909093
10	0.8106120505383381	10	0
11	0.35945870323144496	27	-0.6573426573426574
11	0.35945870323144496	11	0
12	0.3688844182963098	10	0.7412587412587414
12	0.3688844182963098	12	0
13	0.25943177303989706	4	-0.7915949092223313
13	0.25943177303989706	13	0
14	0.08617401635026473	14	0
15	0.14124734965586913	39	0.6573426573426574
15	0.14124734965586913	15	0
16	1.0	36	0.7488827099757084
16	1.0	16	0
17	0.12835858868045588	17	0
18	0.8421067833013548	51	0.754118335164519
18	0.8421067833013548	18	0
19	0.5512952488003001	29	0.691367702087579
19	0.5512952488003001	19	0
20	0.43640342021293016	20	0
21	0.6430155832594808	33	0.7692307692307694
21	0.6430155832594808	43	0.7390554240969553
21	0.6430155832594808	21	0
22	0.056819144048370115	22	0
23	0.047309132686255834	23	0
24	0.8996623534561877	20	0.6293706293706295
24	0.8996623534561877	24	0
25	0.05604982283511959	25	0
26	0.753784366433642	26	0
27	0.2905708240969119	3	0.6433566433566434
27	0.2905708240969119	56	-0.6700632434252528
27	0.2905708240969119	27	0
28	0.6027958169803369	28	0
29	0.4213959856538219	5	0.6549458181397189
29	0.4213959856538219	32	-0.6349295223253277
29	0.4213959856538219	53	0.6675141083138443
29	0.4213959856538219	29	0
30	0.3887555509782088	30	0
31	0.22046932270009512	25	-0.6993006993006995
31	0.22046932270009512	31	0
32	0.3047976610967113	32	0
33	0.5075093561192472	31	0.7482517482517483
33	0.5075093561192472	44	0.7355527917552636
33	0.5075093561192472	33	0
34	0.19493781363367663	34	0
35	0.3449372331937104	13	0.7844955832523607
35	0.3449372331937104	35	0
36	0.670648462281148	35	-0.7247576008498138
36	0.670648462281148	55	0.7191046472927786
36	0.670648462281148	36	0
37	0.5716184541194294	24	0.6993006993006995
37	0.5716184541194294	30	0.7132867132867134
37	0.5716184541194294	37	0
38	0.03703965683420449	38	0
39	0.0628113972217044	58	0.6706277378583748
39	0.0628113972217044	39	0
40	0.0	40	0
41	0.41291726333496986	1	0.5944055944055945
41	0.41291726333496986	41	0
42	0.1765324778275392	22	-0.6014982564856705
42	0.1765324778275392	42	0
43	0.37453011482708864	17	-0.742558056438647
43	0.37453011482708864	49	0.7627040392731284
43	0.37453011482708864	43	0
44	0.2711805923541971	8	0.7530659534637223
44	0.2711805923541971	60	0.6408137859393817
44	0.2711805923541971	44	0
45	0.0356543666387618	38	-0.6082787007132365
45	0.0356543666387618	45	0
46	0.27359079963165284	46	0
47	0.18782038955556513	47	0
48	0.11777717446803339	15	0.6549079545282901
48	0.11777717446803339	48	0
49	0.31100348376597686	9	-0.7154890273181252
49	0.31100348376597686	46	0.7115541099518314
49	0.31100348376597686	49	0
50	0.17505221934209295	34	-0.6195669042188969
50	0.17505221934209295	50	0
51	0.32966270945811976	21	0.7323649216501578
51	0.32966270945811976	51	0
52	0.23776028538247168	52	0
53	0.5723706821048987	54	0.659380473395787
53	0.5723706821048987	53	0
54	0.1605897979549568	47	0.7385489458759964
54	0.1605897979549568	52	0.9834710743801653
54	0.1605897979549568	54	0
55	0.4341272624013295	28	0.8656903097843534
55	0.4341272624013295	55	0
56	0.41511702811166	14	0.6305476678616639
56	0.41511702811166	56	0
57	0.0	57	0
58	0.030472574601082592	58	0
59	0.0	59	0
60	0.186473414405139	23	0.7611646165718612
60	0.186473414405139	50	0.6311944030978031
60	0.186473414405139	60	0
61	0.0	61	0
